ideal_mdot [kg/s],ideal_is_choked [-],ideal_tank.mass [kg],ideal_tank.volume [m^3],ideal_tank.inenergy [J],ideal_tank.pressure [Pa],ideal_tank.temperature [degK],ideal_tank.density [kg/m^3],ideal_tank.sp_inenergy [J/kg],ideal_tank.sp_enthalpy [J/kg],atmospheric.pressure [Pa],time [s]
0.025522487016168795,1.0,0.020804330667494063,0.0037854117839999993,2616.7756856138076,450111.3863498726,39.058225648515034,5.495922730369475,125780.33523099184,207679.48273221825,101325.0,1.377
0.02548008529007298,1.0,0.02077885058220399,0.0037854117839999993,2611.4839946807924,449174.7794310965,39.02563458066767,5.489191603944136,125679.90632347071,207508.85525437558,101325.0,1.3780000000000001
0.025437773329096927,1.0,0.020753412808874893,0.0037854117839999993,2606.2054314570514,448240.5513176842,38.99308564366453,5.482471655156367,125579.60733776499,207338.4525287119,101325.0,1.379
0.025395550900432603,1.0,0.02072801725797446,0.0037854117839999993,2600.939957232242,447308.6948323666,38.960578762295974,5.475762860354234,125479.43804087731,207168.27414278075,101325.0,1.3800000000000001
0.025353417771991453,1.0,0.020702663840202466,0.0037854117839999993,2595.6875334287975,446379.20282308623,38.928113861526136,5.469065195947113,125379.39820035316,206998.31968512145,101325.0,1.381
0.02531137371240193,1.0,0.020677352466490065,0.0037854117839999993,2590.4481216014083,445452.06816289533,38.895690866492394,5.462378638405504,125279.48758427927,206828.58874525718,101325.0,1.3820000000000001
0.025269418491006754,1.0,0.020652083047999058,0.0037854117839999993,2585.2216834365,444527.283749855,38.86330970250487,5.455703164260838,125179.70596128206,206659.08091369143,101325.0,1.383
0.025227551877860438,1.0,0.020626855496121196,0.0037854117839999993,2580.008180751719,443604.84250693495,38.830970295046,5.449038750105291,125080.05310052616,206489.79578190518,101325.0,1.3840000000000001
0.025185773643726723,1.0,0.02060166972247747,0.0037854117839999993,2574.8075754954166,442684.7373819127,38.79867256976991,5.4423853725916,124980.52877171263,206320.73294235396,101325.0,1.385
0.025144083560075983,1.0,0.020576525638917393,0.0037854117839999993,2569.619829746138,441766.96134727495,38.76641645250209,5.43574300843287,124881.1327450777,206151.89198846524,101325.0,1.3860000000000001
0.02510248139908269,1.0,0.02055142315751831,0.0037854117839999993,2564.444905712112,440851.5074001171,38.734201869238774,5.429111634402392,124781.86479139101,205983.27251463517,101325.0,1.387
0.025060966933622957,1.0,0.020526362190584686,0.0037854117839999993,2559.282765730743,439938.3685620458,38.70202874614651,5.422491227333457,124682.72468195412,205814.87411622595,101325.0,1.3880000000000001
0.02501953993727188,1.0,0.020501342650647413,0.0037854117839999993,2554.1333722681075,439027.53787907946,38.66989700956167,5.41588176411917,124583.71218859903,205646.69638956268,101325.0,1.389
0.024978200184301143,1.0,0.02047636445046311,0.0037854117839999993,2548.996687918449,438119.00842155196,38.63780658598999,5.409283221712271,124484.82708368666,205478.7389319312,101325.0,1.3900000000000001
0.024936947449676505,1.0,0.020451427503013434,0.0037854117839999993,2543.8726754036775,437212.77328401303,38.605757402105986,5.402695577124942,124386.06914010517,205311.0013415743,101325.0,1.391
