real_mdot [kg/s],real_is_choked [-],real_tank.mass [kg],real_tank.volume [m^3],real_tank.inenergy [J],real_tank.pressure [Pa],real_tank.temperature [degK],real_tank.density [kg/m^3],real_tank.sp_inenergy [J/kg],real_tank.sp_enthalpy [J/kg],atmospheric.pressure [Pa],time [s]
0.10022907463183388,1.0,0.05650963512970126,0.0037854117839999993,13867.294682647893,2516622.6110506547,77.78822217931175,14.928266290223307,245396.99558879816,413978.03253739676,101325.0,0.6980000000000001
0.09998273583770212,1.0,0.05640965239386356,0.0037854117839999993,13825.904026378095,2508823.411273211,77.69182927521909,14.90185364569668,245098.19578115546,413454.6614210997,101325.0,0.6990000000000001
0.09973718718591518,1.0,0.05630991520667764,0.0037854117839999993,13784.66722141905,2501054.3482096656,77.59562877972893,14.875505868261346,244799.99962394478,412932.3892286548,101325.0,0.7000000000000001
0.09949242550204855,1.0,0.05621042278117559,0.0037854117839999993,13743.583576446335,2493315.2807689006,77.49962014445471,14.84922275002238,244502.40536260384,412411.2126276268,101325.0,0.7010000000000001
0.09924844762716517,1.0,0.056111174333548425,0.0037854117839999993,13702.652403809007,2485606.068642108,77.40380282308178,14.82300408391935,244205.411249365,411891.12829902855,101325.0,0.7020000000000001
0.0990052504177285,1.0,0.0560121690831307,0.0037854117839999993,13661.87301950692,2477926.5722977435,77.30817627135742,14.796849663722268,243909.01554322228,411372.1329372528,101325.0,0.7030000000000001
0.09876283074551169,1.0,0.05591340625238519,0.0037854117839999993,13621.244743168218,2470276.652976527,77.21273994708119,14.770759284027525,243613.21650989837,410854.2232500041,101325.0,0.704
0.09852118549750997,1.0,0.05581488506688768,0.0037854117839999993,13580.766898026968,2462656.172686472,77.11749331009503,14.744732740253891,243318.0124218117,410337.39595823165,101325.0,0.705
0.09828031157585324,1.0,0.05571660475531182,0.0037854117839999993,13540.438810900969,2455064.994197961,77.02243582227379,14.718769828638498,243023.401558044,409821.6477960625,101325.0,0.706
0.09804020589771797,1.0,0.05561856454941411,0.0037854117839999993,13500.259812169701,2447502.9810388424,76.92756694751544,14.692870346232883,242729.3822043078,409306.9755107349,101325.0,0.707
0.09780086539524166,1.0,0.05552076368401886,0.0037854117839999993,13460.229235752442,2439969.9974895786,76.83288615173156,14.667034090899019,242435.95265291433,408793.3758625322,101325.0,0.708
0.09756228701543601,1.0,0.05542320139700343,0.0037854117839999993,13420.346419086532,2432465.9085784233,76.73839290283787,14.641260861305398,242143.1112027414,408280.8456247171,101325.0,0.709
0.09732446772010148,1.0,0.05532587692928333,0.0037854117839999993,13380.610703105795,2424990.5800766316,76.64408667074477,14.615550456923113,241850.85615920165,407769.3815834671,101325.0,0.71
0.0970874044857439,1.0,0.05522878952479758,0.0037854117839999993,13341.021432219099,2417543.8784937076,76.54996692734785,14.589902678021987,241559.1858342109,407258.9805378082,101325.0,0.711
0.09685109430348773,1.0,0.05513193843049409,0.0037854117839999993,13301.577954289089,2410125.671072689,76.45603314651866,14.564317325666702,241268.09854615663,406749.63929955143,101325.0,0.712
0.09661553417899459,1.0,0.055035322896315096,0.0037854117839999993,13262.279620611049,2402735.8257854637,76.36228480409537,14.538794201712959,240977.59261986683,406241.3546932287,101325.0,0.713
0.09638072113237846,1.0,0.05493894217518272,0.0037854117839999993,13223.125785891922,2395374.2113281195,76.2687213778735,14.51333310880366,240687.66638657879,405734.12355602847,101325.0,0.714
0.0961466521981241,1.0,0.05484279552298459,0.0037854117839999993,13184.11580822947,2388040.6971163303,76.17534234759678,14.487933850365117,240398.31818390827,405227.942737733,101325.0,0.715
0.09591332442500457,1.0,0.05474688219855959,0.0037854117839999993,13145.249049091588,2380735.1532807727,76.08214719494794,14.46259623060327,240109.5463558187,404722.8091006548,101325.0,0.716
0.09568073487599972,1.0,0.05465120146368359,0.0037854117839999993,13106.524873295759,2373457.450662583,75.98913540353976,14.43732005449994,239821.3492525907,404218.7195195749,101325.0,0.717
0.09544888062821458,1.0,0.054555752583055374,0.0037854117839999993,13067.942648988645,2366207.4608088364,75.8963064589059,14.412105127809097,239533.72523079178,403715.6708816797,101325.0,0.718
0.09521775877280096,1.0,0.05446053482428257,0.0037854117839999993,13029.501747625833,2358985.055968068,75.80365984849198,14.386951257053143,239246.67265324594,403213.6600864999,101325.0,0.719
0.09498736641487408,1.0,0.054365547457867695,0.0037854117839999993,12991.201543951714,2351790.109085825,75.71119506164663,14.36185824951923,238960.18988900384,402712.68404584826,101325.0,0.72
0.094757700673437,1.0,0.05427078975719426,0.0037854117839999993,12953.041415979502,2344622.493800241,75.61891158961267,14.33682591325559,238674.27531331286,402212.7396837591,101325.0,0.721
0.09452875868129883,1.0,0.05417626099851296,0.0037854117839999993,12915.020744971393,2337482.0844376637,75.52680892551811,14.311854057067881,238388.9273075875,401713.823936428,101325.0,0.722
0.09430053758499804,1.0,0.05408196046092796,0.0037854117839999993,12877.138915418862,2330368.756008292,75.4348865643677,14.286942490515576,238104.14425937974,401215.93375215004,101325.0,0.723
0.09407303454472375,1.0,0.05398788742638324,0.0037854117839999993,12839.395315023103,2323282.3842018535,75.34314400303374,14.262091023908338,237819.92456234994,400719.06609126076,101325.0,0.724
0.09384624673423825,1.0,0.053894041179649,0.0037854117839999993,12801.789334675588,2316222.845383321,75.25158074024782,14.237299468302446,237536.2666162375,400223.2179260768,101325.0,0.725
0.09362017134080179,1.0,0.053800421008308195,0.0037854117839999993,12764.320368438783,2309190.0165886455,75.16019627659196,14.212567635497223,237253.168826832,399728.3862408357,101325.0,0.726
0.0933948055650941,1.0,0.0537070262027431,0.0037854117839999993,12726.987813526972,2302183.77552053,75.06899011449006,14.1878953380315,236970.62960594415,399234.568031638,101325.0,0.727
0.09317014662113998,1.0,0.053613856056121956,0.0037854117839999993,12689.791070287236,2295204.0005442323,74.9779617581994,14.163282389180084,236688.6473713774,398741.7603063869,101325.0,0.728
0.0929461917362332,1.0,0.05352090986438572,0.0037854117839999993,12652.729542180556,2288250.5706833918,74.88711071380212,14.13872860295025,236407.22054689933,398249.96008473274,101325.0,0.729
0.09272293815086277,1.0,0.053428186926234855,0.0037854117839999993,12615.802635763035,2281323.365615897,74.79643648919682,14.114233794078258,236126.34756221337,397759.1643980124,101325.0,0.73
0.09250038311863754,1.0,0.05333568654311622,0.0037854117839999993,12579.00976066727,2274422.2656697696,74.70593859409004,14.089797778025892,235846.02685293046,397269.3702891934,101325.0,0.731
0.09227852390621252,1.0,0.05324340801921001,0.0037854117839999993,12542.350329583833,2267547.1518190964,74.61561653998818,14.065420370977009,235566.25686054135,396780.5748128165,101325.0,0.732
0.09205735779321575,1.0,0.05315135066141679,0.0037854117839999993,12505.823758242892,2260697.905679964,74.52546984018886,14.041101389834106,235287.03603238857,396292.7750349381,101325.0,0.733
0.09183688207217569,1.0,0.05305951377934461,0.0037854117839999993,12469.429465395953,2253874.4095064523,74.43549800977293,14.016840652214924,235008.36282163864,395805.96803307394,101325.0,0.734
0.0916170940484481,1.0,0.05296789668529617,0.0037854117839999993,12433.16687279773,2247076.5461866334,74.34570056559612,13.992637976449057,234730.23568725478,395320.1508961438,101325.0,0.735
0.09139799104014493,1.0,0.05287649869425602,0.0037854117839999993,12397.035405188135,2240304.1992386132,74.25607702628095,13.968493181574571,234452.65309396945,394835.32072441455,101325.0,0.736
0.09117957037806175,1.0,0.05278531912387796,0.0037854117839999993,12361.034490274398,2233557.252806588,74.16662691220853,13.944406087334665,234175.61351225708,394351.4746294451,101325.0,0.737
0.09096182940560847,1.0,0.05269435729447235,0.0037854117839999993,12325.163558713304,2226835.5916569503,74.07734974551065,13.920376514174333,233899.11541830713,393868.6097340312,101325.0,0.738
0.09074476547873632,1.0,0.052603612528993614,0.0037854117839999993,12289.422044093553,2220139.101174396,73.98824505006152,13.896404283237056,233623.15729399712,393386.7231721505,101325.0,0.739
0.09052837596587024,1.0,0.052513084153027745,0.0037854117839999993,12253.809382918244,2213467.6673580827,73.89931235147002,13.872489216361501,233347.73762686583,392905.8120889078,101325.0,0.74
0.09031265824783799,1.0,0.052422771494779904,0.0037854117839999993,12218.325014587468,2206821.176817799,73.81055117707156,13.84863113607825,233072.85491008675,392425.873640481,101325.0,0.741
0.09009760971780063,1.0,0.0523326738850621,0.0037854117839999993,12182.96838138104,2200199.5167701705,73.72196105592035,13.824829865606535,232798.50764244172,391946.90499406744,101325.0,0.742
