conservation_mdot [kg/s],conservation_tank.mass [kg],conservation_tank.volume [m^3],conservation_tank.inenergy [J],conservation_tank.pressure [Pa],conservation_tank.temperature [degK],conservation_tank.density [kg/m^3],conservation_tank.sp_inenergy [J/kg],conservation_tank.sp_enthalpy [J/kg],time [s]
-0.4455987205659025,0.486911823079148,0.0037854117839999993,53262.131162970865,5913082.143179453,184.38134464067653,128.6284956202662,109387.63167866855,155357.86645958293,0.72
-0.43994353181931634,0.48251238776095484,0.0037854117839999993,52578.64427830944,5826620.134996705,183.5677735799561,127.4662877630422,108968.48580881995,154679.5537095993,0.73
-0.4343919761689867,0.478168467999265,0.0037854117839999993,51906.728708220944,5741931.140679355,182.76227705127502,126.31874556431747,108553.22377363605,154009.11486112114,0.74
-0.4289413947256348,0.47387905405200864,0.0037854117839999993,51246.119862931046,5658965.300356225,181.96470422475318,125.1856022784571,108141.77040478928,153346.37219093303,0.75
-0.4235892177731886,0.46964316187427674,0.0037854117839999993,50596.56116448391,5577674.566810046,181.17490845144945,124.06659794829783,107734.05272752291,152691.15366402498,0.76
-0.418332961088834,0.4654598322633884,0.0037854117839999993,49957.803740040494,5498012.624901243,180.392747113344,122.96147917929883,107329.9998779938,152043.2927043122,0.77
-0.4131702224424506,0.4613281300389639,0.0037854117839999993,49329.60612936526,5419934.815202382,179.61808147986181,121.8699989229399,106929.54302439539,151402.62797641454,0.78
-0.40809867826538293,0.45724714325631005,0.0037854117839999993,48711.734005734455,5343398.061591523,178.8507765706048,120.79191626891975,106532.61529165875,150769.00317787696,0.79
-0.40311608047913033,0.45321598245151873,0.0037854117839999993,48103.95990954634,5268360.802569467,178.09070102397578,119.7269962457323,106139.15168954154,150142.2668412528,0.8
-0.3982202534751337,0.4492337799167674,0.0037854117839999993,47506.06299395779,5194782.926081676,177.3377269713993,118.67500962922122,105749.08904392623,149522.27214550631,0.81
-0.3934090912373767,0.4452996890043936,0.0037854117839999993,46917.82878191268,5122625.707640121,176.59172991685935,117.6357327587359,105362.36593116003,148908.87673622576,0.8200000000000001
-0.3886805546000406,0.4414128834583932,0.0037854117839999993,46339.04893396563,5051851.751553608,175.85258862149007,116.60894736053193,104978.92261527854,148301.94255417126,0.8300000000000001
-0.3840326686329225,0.43757255677206397,0.0037854117839999993,45769.52102634038,4982424.935087868,175.12018499297136,115.59444037807857,104598.70098796481,147701.3356717064,0.84
-0.37946352014776863,0.4337779215705863,0.0037854117839999993,45209.04833869525,4914310.355387939,174.39440397949485,114.59200380895375,104221.64451110411,147106.92613669657,0.85
-0.37497125531909464,0.43002820901739536,0.0037854117839999993,44657.43965109914,4847474.2790064,173.67513346807803,113.60143454802417,103847.69816180285,146518.5878234749,0.86
-0.3705540774134409,0.4263226682432609,0.0037854117839999993,44114.50904975066,4781884.093890779,172.96226418701852,112.62253423662429,103476.8083797477,145936.19829050804,0.87
-0.36621024462138596,0.4226605657970471,0.0037854117839999993,43580.07574099984,4717508.263692834,172.2556896122898,111.65510911746217,103108.92301678813,145359.6386444086,0.88
-0.3619380679869567,0.41904118511717753,0.0037854117839999993,43053.963873257446,4654316.284270964,171.5553058776915,110.6989698949956,102743.9912886323,144788.79340996954,0.89
