volume [m^3],pressure [Pa],temp [degK],liq_sp_intenergy [J/kg],liquid_sat_density [kg/m^3],vapor_sat_sp_inenergy [J/kg],vapor_sat_density [kg/m^3],x [-],total_mass [kg],total_inenergy [J],total_mdot [kg/s],total_inenergy_dot [J/s],time [s]
0.008963947725436136,4506006.725019749,288.17178916934967,195596.91723610443,820.564875985652,356064.75318186055,134.28956933979208,0.03572523677501544,6.219924651955199,1252255.3693307596,-0.5086926202983413,-102293.86161338698,1.863
0.008963947725436136,4505866.504158472,288.17045432745346,195593.7183010198,820.5737605290541,356065.5807654108,134.28388909628342,0.0357443979572898,6.219415977354167,1252153.0808371115,-0.508674601031876,-102288.49364808417,1.864
0.008963947725436136,4505726.288474303,288.16911950348106,195590.51946298222,820.5826446631387,356066.4082575897,134.27820924403522,0.035763559378871594,6.218907320771429,1252050.797711053,-0.5086565827387807,-102283.12605861414,1.865
0.008963947725436136,4505586.077966564,288.16778469742803,195587.3207219731,820.5915283879774,356067.235658411,134.27252978298452,0.03578272104016978,6.2183986822060096,1251948.519952208,-0.5086385654189158,-102277.75884492286,1.866
0.008963947725436136,4505445.872634554,288.1664499092898,195584.12207797455,820.6004117036402,356068.06296788796,134.2668507130702,0.03580188294159028,6.217890061656938,1251846.247560201,-0.5086205490721366,-102272.39200695517,1.867
0.008963947725436136,4505305.672477622,288.16511513906215,195580.92353096808,820.6092946101998,356068.8901860356,134.26117203422692,0.03582104508354152,6.2173814591232395,1251743.9805346562,-0.5086025336982956,-102267.0255446546,1.868
0.008963947725436136,4505165.477495151,288.1637803867405,195577.72508093555,820.6181771077264,356069.7173128667,134.25549374639402,0.035840207466430976,6.2168728746039426,1251641.7188751982,-0.5085845192972487,-102261.65945796575,1.869
0.008963947725436136,4505025.287686391,288.1624456523205,195574.52672785844,820.6270591962909,356070.5443483955,134.24981584950754,0.035859370090667676,6.216364308098074,1251539.4625814513,-0.5085665058688544,-102256.2937468346,1.87
0.008963947725436136,4504885.103050737,288.1611109357977,195571.32847171894,820.6359408759648,356071.3712926356,134.24413834350574,0.03587853295665688,6.21585575960466,1251437.21165304,-0.5085484934129662,-102250.92841120428,1.871
0.008963947725436136,4504744.923587471,288.15977623716765,195568.13031249863,820.6448221468182,356072.1981456012,134.2384612283253,0.03589769606480684,6.215347229122731,1251334.966089589,-0.5085304819294381,-102245.56345101999,1.872
0.008963947725436136,4504604.7492959965,288.158441556426,195564.93225017886,820.6537030089245,356073.0249073059,134.23278450390333,0.03591685941552794,6.214838716651313,1251232.7258907228,-0.5085124714181264,-102240.19886622566,1.873
0.008963947725436136,4504464.580175575,288.157106893568,195561.73428474247,820.6625834623505,356073.8515777632,134.22710817017852,0.03593602300922112,6.214330222189434,1251130.491056066,-0.5084944618788895,-102234.8346567676,1.874
0.008963947725436136,4504324.416225573,288.1557722485898,195558.53641616995,820.6714635071712,356074.67815698753,134.22143222708598,0.035955186846301945,6.213821745736123,1251028.2615852435,-0.5084764533115762,-102229.47082258793,1.875
0.008963947725436136,4504184.257445303,288.15443762148664,195555.33864444352,820.6803431434566,356075.50464499235,134.21575667456418,0.03597435092717508,6.213313287290407,1250926.0374778798,-0.5084584457160493,-102224.10736363316,1.8760000000000001
0.008963947725436136,4504044.10383415,288.15310301225395,195552.14096954511,820.6892223712774,356076.3310417912,134.21008151255094,0.03599351525224762,6.212804846851315,1250823.8187336,-0.5084404390921615,-102218.74427984764,1.877
0.008963947725436136,4503903.955391418,288.15176842088766,195548.9433914563,820.6981011907037,356077.15734739817,134.20440674098325,0.03601267982192819,6.212296424417874,1250721.6053520287,-0.5084224334397669,-102213.3815711756,1.8780000000000001
0.008963947725436136,4503763.8121163845,288.150433847383,195545.7459101592,820.7069796018076,356077.9835618268,134.198732359799,0.03603184463662254,6.211788019989116,1250619.3973327912,-0.5084044287587236,-102208.01923756217,1.879
0.008963947725436136,4503623.674008498,288.1490992917359,195542.54852563457,820.7158576046609,356078.80968509184,134.19305836893287,0.03605100969674431,6.211279633564066,1250517.1946755124,-0.5083864250488837,-102202.6572789507,1.8800000000000001
0.008963947725436136,4503483.541066943,288.14776475394166,195539.35123786578,820.7247351993315,356079.6357172058,134.18738476832638,0.036070175002691836,6.210771265141756,1250414.997379817,-0.5083684223101088,-102197.29569528841,1.881
0.008963947725436136,4503343.413291184,288.1464302339958,195536.15404683328,820.7336123858926,356080.46165818284,134.1817115579143,0.03608934055488055,6.210262914721214,1250312.8054453305,-0.5083504205422462,-102191.93448651631,1.8820000000000001
0.008963947725436136,4503203.290680514,288.1450957318942,195532.95695251913,820.7424891644157,356081.2875080374,134.1760387376339,0.03610850635371683,6.209754582301469,1250210.618871678,-0.5083324197451597,-102186.57365258274,1.883
0.008963947725436136,4503063.173234254,288.14376124763226,195529.75995490534,820.7513655349701,356082.11326678254,134.17036630742405,0.036127672399606965,6.20924626788155,1250108.4376584846,-0.5083144199187035,-102181.21319343115,1.8840000000000001
0.008963947725436136,4502923.060951736,288.1424267812055,195526.56305397395,820.7602414976268,356082.9389344319,134.16469426722256,0.03614683869295725,6.208737971460487,1250006.2618053756,-0.5082964210627287,-102175.85310900556,1.885
0.008963947725436136,4502782.953832322,288.1410923326097,195523.36624970593,820.7691170524577,356083.76451099984,134.1590226169649,0.03616600523418038,6.20822969303731,1249904.0913119763,-0.5082784231770939,-102170.4933992508,1.8860000000000001
0.008963947725436136,4502642.851875284,288.1397579018402,195520.1695420834,820.7779921995347,356084.58999650006,134.1533513565891,0.036185172023682016,6.207721432611049,1249801.9261779122,-0.5082604262616583,-102165.1340641131,1.887
0.008963947725436136,4502502.755080066,288.13842348889267,195516.9729310891,820.7868669389238,356085.415390946,134.147680486034,0.03620433906186449,6.207213190180732,1249699.7664028087,-0.50824243031627,-102159.77510353486,1.8880000000000001
0.008963947725436136,4502362.6634459235,288.1370890937629,195513.77641670327,820.7957412707016,356086.24069435144,134.14201000523585,0.036223506349145014,6.206704965745391,1249597.6119862914,-0.5082244353407929,-102154.41651746341,1.889
0.008963947725436136,4502222.576972144,288.13575471644606,195510.57999890877,820.8046151949353,356087.06590673025,134.13633991413263,0.03624267388592469,6.206196759304056,1249495.4629279855,-0.5082064413350817,-102149.05830584283,1.8900000000000001
0.008963947725436136,4502082.495658172,288.134420356938,195507.3836776872,820.8134887116964,356087.89102809614,134.1306702126621,0.036261841672612795,6.205688570855758,1249393.319227517,-0.5081884482989837,-102143.70046861509,1.891
0.008963947725436136,4501942.419503298,288.1330860152344,195504.18745301975,820.8223618210576,356088.7160584631,134.1250009007609,0.03628100970962094,6.2051804003995255,1249291.1808845112,-0.5081704562323652,-102138.34300572882,1.8920000000000001
0.008963947725436136,4501802.348506812,288.1317516913305,195500.991324889,820.8312345230871,356089.54099784454,134.1193319783676,0.03630017799735208,6.204672247934391,1249189.047898594,-0.5081524651350807,-102132.98591712768,1.893
0.008963947725436136,4501662.282668151,288.13041738522236,195497.79529327626,820.8401068178576,356090.36584625446,134.11366344541892,0.03631934653621719,6.204164113459384,1249086.9202693913,-0.5081344750069807,-102127.62920275543,1.8940000000000001
0.008963947725436136,4501522.221986547,288.129083096905,195494.599358164,820.8489787054378,356091.19060370635,134.1079953018535,0.03633851532662016,6.203655996973536,1248984.7979965287,-0.5081164858479293,-102122.27286255902,1.895
0.008963947725436136,4501382.166461334,288.12774882637433,195491.40351953352,820.8578501858999,356092.01527021424,134.10232754760844,0.03635768436897204,6.203147898475878,1248882.6810796321,-0.5080984976577722,-102116.91689648028,1.8960000000000001
0.008963947725436136,4501242.116091958,288.126414573626,195488.2077773666,820.8667212593145,356092.8398457918,134.0966601826203,0.03637685366368094,6.202639817965442,1248780.5695183277,-0.5080805104363717,-102111.56130446565,1.897
0.008963947725436136,4501102.070877654,288.12508033865544,195485.01213164526,820.8755919257515,356093.66433045233,134.09099320682904,0.036396023211153775,6.202131755441258,1248678.4633122412,-0.5080625241835868,-102106.20608646145,1.8980000000000001
0.008963947725436136,4500962.030817777,288.12374612145817,195481.8165823508,820.8844621852832,356094.48872421,134.08532662017,0.03641519301180104,6.201623710902358,1248576.3624609988,-0.5080445388992684,-102100.85124241038,1.899
0.008963947725436136,4500821.9959117025,288.12241192203,195478.6211294659,820.8933320379786,356095.3130270786,134.07966042258204,0.036434363066025606,6.201115684347775,1248474.2669642265,-0.5080265545832726,-102095.49677225781,1.9000000000000001
0.008963947725436136,4500681.966158707,288.12107774036616,195475.4257729717,820.902201483909,356096.13723907137,134.07399461400288,0.03645353337423984,6.200607675776539,1248372.1768215506,-0.5080085712354621,-102090.14267595013,1.901
0.008963947725436136,4500541.941558196,288.1197435764628,195472.23051285025,820.9110705231462,356096.96136020287,134.06832919436877,0.036472703936850336,6.200099685187683,1248270.0920325972,-0.5079905888556843,-102084.78895342995,1.9020000000000001
0.008963947725436136,4500401.9221094055,288.1184094303149,195469.03534908395,820.919939155758,356097.78539048566,134.0626641636202,0.03649187475426167,6.199591712580239,1248168.0125969925,-0.5079726074438048,-102079.43560464492,1.903
0.008963947725436136,4500261.907811764,288.1170753019184,195465.84028165363,820.9288073818176,356098.60932993435,134.0569995216925,0.03651104582688746,6.19908375795324,1248065.938514363,-0.507954626999668,-102074.08262953637,1.9040000000000001
