isenthalpic_mdot [kg/s],isenthalpic_tank.mass [kg],isenthalpic_tank.volume [m^3],isenthalpic_tank.inenergy [J],isenthalpic_tank.pressure [Pa],isenthalpic_tank.temperature [degK],isenthalpic_tank.density [kg/m^3],isenthalpic_tank.sp_inenergy [J/kg],isenthalpic_tank.sp_enthalpy [J/kg],time [s]
-0.5327639715229521,0.4444827425155589,0.0037854117839999993,79517.22632569613,9256497.085743103,270.63178024491486,117.41991832811365,178898.34344448743,257730.76998286322,0.6900000000000001
-0.5257556781258078,0.43922518573430086,0.0037854117839999993,78615.0620116182,9136861.529765828,270.4200229064199,116.03101876281922,178985.77896936575,257730.76998286895,0.7000000000000001
-0.5188603331592638,0.4340365824027082,0.0037854117839999993,77723.54848405675,9019107.047649214,270.20990814292816,114.66033477184006,179071.42309019293,257730.7699828749,0.71
-0.5120754890565216,0.42891582751214297,0.0037854117839999993,76842.55244195777,8903193.6189987,270.0014339474705,113.30757444277641,179155.3202586871,257730.76998288077,0.72
-0.5053987697653278,0.42386183981448966,0.0037854117839999993,75971.94227286278,8789082.395081535,269.79459785838964,111.9724521400945,179237.51358724153,257730.7699828867,0.73
-0.4988278681200293,0.4188735611332894,0.0037854117839999993,75111.58804174933,8676735.654873103,269.5893969834715,110.65468832314743,179318.0448976777,257730.76998289264,0.74
-0.4923605433278608,0.41394995570001075,0.0037854117839999993,74261.36147888568,8566116.763075214,269.3858280228377,109.35400937083648,179396.95476789188,257730.76998289864,0.75
-0.4859946185637927,0.4090900095143728,0.0037854117839999993,73421.1359668059,8457190.1300044,269.18388729066885,108.07014741262634,179474.2825765007,257730.76998290463,0.76
-0.47972797866856315,0.40429272972768715,0.0037854117839999993,72590.78652650178,8349921.173254269,268.98357073582446,106.80284016564134,179550.06654558337,257730.7699829106,0.77
-0.47355856794482637,0.3995571440482389,0.0037854117839999993,71770.1898029216,8244276.28104149,268.78487396142197,105.55183077758363,179624.34378161616,257730.76998291662,0.78
-0.4674843880466316,0.3948823001677726,0.0037854117839999993,70959.2240498576,8140222.77715031,268.58779224343505,104.31686767522692,179697.15031468705,257730.76998292253,0.79
-0.4615034959577014,0.3902672652081956,0.0037854117839999993,70157.7691142974,8037728.887395099,268.39232054836316,103.09770441825086,179768.52113607424,257730.76998292853,0.8
-0.45561400205422925,0.3857111251876533,0.0037854117839999993,69365.70642030814,7936763.707525299,268.1984535500265,101.8940995581931,179838.49023426755,257730.76998293446,0.81
-0.44981406824815257,0.3812129845051718,0.0037854117839999993,68582.91895251714,7837297.172501116,268.00618564553173,100.70581650230629,179907.0906295079,257730.76998294075,0.8200000000000001
-0.4441019062070637,0.3767719654431012,0.0037854117839999993,67809.29123924664,7739300.027072586,267.81551097045747,99.53262338211744,179974.35440691502,257730.7699829469,0.8300000000000001
-0.43847577564714185,0.3723872076866298,0.0037854117839999993,67044.70933535608,7642743.79759812,267.6264234132981,98.37429292649708,180040.31274827072,257730.76998295277,0.84
-0.4329339826956641,0.36805786785967315,0.0037854117839999993,66289.06080484061,7547600.76504244,267.4389166292102,97.23060233905406,180104.99596252127,257730.76998295885,0.85
-0.4274748783198537,0.3637831190764746,0.0037854117839999993,65542.23470323032,7453843.939096822,267.25298405309536,96.101333179681,180168.43351505822,257730.7699829649,0.86
-0.42209685681897885,0.35956215050828483,0.0037854117839999993,64804.121559830404,7361447.0333679,267.0686189120566,94.98627125008308,180230.65405583402,257730.76998297087,0.87
-0.4167983543767829,0.355394166964517,0.0037854117839999993,64074.61335984074,7270384.441584143,266.8858142372624,93.88520648313094,180291.68544636815,257730.7699829769,0.88
