isentropic_mdot [kg/s],isentropic_tank.mass [kg],isentropic_tank.volume [m^3],isentropic_tank.inenergy [J],isentropic_tank.pressure [Pa],isentropic_tank.temperature [degK],isentropic_tank.density [kg/m^3],isentropic_tank.sp_inenergy [J/kg],isentropic_tank.sp_enthalpy [J/kg],time [s]
-0.0035656628573001808,0.022091050390377592,0.0037854117839999993,1517.0816385343749,159543.83535865383,95.57654056949313,5.835838120373325,68674.03820667506,96012.67099048634,12.219
-0.003564720944468523,0.02208748566943312,0.0037854117839999993,1516.7393911207055,159507.9340700294,95.57032330696514,5.83489642072534,68669.62649441451,96006.51862903115,12.22
-0.0035637789407870963,0.022083921890492336,0.0037854117839999993,1516.3972560722418,159472.04457003923,95.5641071014685,5.833954969928402,68665.2155170449,96000.36729522128,12.221
-0.0035628368462554813,0.02208035905364608,0.0037854117839999993,1516.0552333824778,159436.16685799023,95.55789195347597,5.83301376800651,68660.80527490946,95994.21698953312,12.222
-0.003561894660873326,0.022076797158985202,0.0037854117839999993,1515.7133230448655,159400.30093318495,95.55167786345801,5.832072814983662,68656.39576834967,95988.0677124407,12.223
-0.003560952384640201,0.022073236206600563,0.0037854117839999993,1515.3715250528771,159364.44679492788,95.5454648318862,5.831132110883862,68651.9869977079,95981.91946441925,12.224
-0.0035600100175557452,0.02206967619658301,0.0037854117839999993,1515.0298394,159328.60444252533,95.5392528592334,5.8301916557311095,68647.57896332743,95975.77224594525,12.225
-0.00355906755961963,0.022066117129023385,0.0037854117839999993,1514.68826607966,159292.77387527708,95.53304194596885,5.829251449549402,68643.17166554884,95969.62605749145,12.226
-0.003558125010831418,0.022062559004012557,0.0037854117839999993,1514.3468050853505,159256.95509249019,95.52683209256595,5.828311492362745,68638.7651047158,95963.48089953493,12.227
-0.003557182371190825,0.022059001821641368,0.0037854117839999993,1514.0054564105308,159221.1480934678,95.52062329949622,5.827371784195136,68634.35928117062,95957.33677255086,12.228
-0.0035562396406975004,0.022055445582000666,0.0037854117839999993,1513.664220048653,159185.35287751266,95.51441556723093,5.8264323250705745,68629.95419525537,95951.19367701397,12.229000000000001
-0.003555296819351097,0.022051890285181317,0.0037854117839999993,1513.323095993211,159149.56944393172,95.50820889624387,5.825493115013065,68625.54984731405,95945.05161340184,12.23
-0.0035543539071513646,0.022048335931274168,0.0037854117839999993,1512.9820842376598,159113.79779202797,95.50200328700679,5.824554154046606,68621.1462376891,95938.91058218984,12.231
-0.003553410904097989,0.022044782520370065,0.0037854117839999993,1512.6411847754655,159078.0379211054,95.49579873999211,5.823615442195197,68616.74336672353,95932.770583854,12.232000000000001
-0.0035524678101906885,0.022041230052559875,0.0037854117839999993,1512.3003976000716,159042.2898304659,95.48959525567115,5.822676979482843,68612.34123475938,95926.63161886919,12.233
-0.003551524625429145,0.022037678527934448,0.0037854117839999993,1511.9597227049742,159006.55351941663,95.48339283451841,5.821738765933543,68607.93984214123,95920.49368771371,12.234
-0.0035505813498131603,0.022034127946584638,0.0037854117839999993,1511.6191600836185,158970.82898725962,95.47719147700555,5.820800801571299,68603.53918921146,95914.35679086279,12.235
-0.003549637983342451,0.022030578308601292,0.0037854117839999993,1511.2787097294743,158935.1162332995,95.47099118360588,5.819863086420111,68599.13927631364,95908.22092879337,12.236
-0.0035486945260167937,0.022027029614075277,0.0037854117839999993,1510.9383716360016,158899.41525683974,95.46479195479216,5.818925620503981,68594.74010379102,95902.08610198188,12.237
-0.0035477509778359525,0.022023481863097442,0.0037854117839999993,1510.5981457966598,158863.72605718378,95.45859379103732,5.81798840384691,68590.34167198688,95895.95231090489,12.238
-0.003546807338799709,0.022019935055758638,0.0037854117839999993,1510.2580322049182,158828.04863363632,95.45239669281501,5.8170514364729,68585.94398124515,95889.81955603974,12.239
-0.003545863608907872,0.02201638919214973,0.0037854117839999993,1509.918030854231,158792.38298550018,95.44620066059811,5.816114718405952,68581.54703190905,95883.68783786295,12.24
-0.003544919788160245,0.02201284427236157,0.0037854117839999993,1509.5781417380592,158756.72911207928,95.44000569486006,5.81517824967007,68577.15082432232,95877.55715685157,12.241
-0.003543975876556637,0.02200930029648501,0.0037854117839999993,1509.2383648498721,158721.08701267798,95.4338117960749,5.81424203028925,68572.75535882913,95871.42751348348,12.242
-0.003543031874096898,0.022005757264610914,0.0037854117839999993,1508.8987001831103,158685.45668659793,95.42761896471508,5.8133060602875,68568.36063577243,95865.29890823457,12.243
-0.0035420877807808373,0.022002215176830136,0.0037854117839999993,1508.5591477312576,158649.83813314544,95.42142720125588,5.81237033968882,68563.96665549728,95859.17134158395,12.244
-0.0035411435966083552,0.021998674033233523,0.0037854117839999993,1508.21970748777,158614.2313516236,95.41523650617093,5.811434868517208,68559.57341834757,95853.04481400897,12.245000000000001
-0.0035401993215793096,0.021995133833911946,0.0037854117839999993,1507.880379446098,158578.63634133508,95.4090468799337,5.81049964679667,68555.180924667,95846.91932598667,12.246
-0.0035392549556935698,0.021991594578956254,0.0037854117839999993,1507.5411635997,158543.05310158338,95.4028583230183,5.809564674551206,68550.78917479978,95840.79487799492,12.247
-0.0035383104989510123,0.0219880562684573,0.0037854117839999993,1507.2020599420389,158507.48163167262,95.39667083589927,5.808629951804816,68546.39816909043,95834.67147051194,12.248000000000001
-0.0035373659513515568,0.02198451890250595,0.0037854117839999993,1506.8630684665725,158471.9219309062,95.39048441905089,5.807695478581507,68542.0079078833,95828.5491040157,12.249
-0.0035364213128951153,0.021980982481193057,0.0037854117839999993,1506.524189166744,158436.3739985861,95.38429907294683,5.806761254905276,68537.61839152218,95822.42777898347,12.25
-0.003535476583581584,0.021977447004609477,0.0037854117839999993,1506.185422036033,158400.8378340181,95.37811479806294,5.805827280800128,68533.22962035266,95816.307495895,12.251
-0.0035345317634109473,0.021973912472846063,0.0037854117839999993,1505.8467670678856,158365.3134365045,95.37193159487332,5.804893556290062,68528.84159471889,95810.18825522796,12.252
-0.0035335868523831263,0.02197037888599368,0.0037854117839999993,1505.5082242557762,158329.80080535074,95.36574946385383,5.803960081399082,68524.4543149664,95804.07005746206,12.253
-0.0035326418504981263,0.021966846244143183,0.0037854117839999993,1505.16979359313,158294.29993985675,95.35956840547753,5.80302685615119,68520.06778143856,95797.95290307388,12.254
-0.0035316967577558537,0.021963314547385423,0.0037854117839999993,1504.8314750734119,158258.81083932688,95.35338842022004,5.802093880570386,68515.68199448072,95791.83679254288,12.255
-0.003530751574156312,0.021959783795811268,0.0037854117839999993,1504.4932686900795,158223.3335030647,95.3472095085566,5.801161154680674,68511.29695443792,95785.72172634795,12.256
-0.0035298062996994986,0.02195625398951157,0.0037854117839999993,1504.1551744365897,158187.86793037382,95.34103167096262,5.800228678506056,68506.9126616553,95779.60770496826,12.257
-0.0035288609343854306,0.02195272512857718,0.0037854117839999993,1503.8171923063976,158152.4141205574,95.3348549079135,5.799296452070532,68502.52911647805,95773.49472888299,12.258000000000001
-0.0035279154782141245,0.021949197213098966,0.0037854117839999993,1503.4793222929393,158116.97207291686,95.32867921988364,5.798364475398106,68498.14631925055,95767.38279857014,12.259
-0.003526969931185579,0.02194567024316778,0.0037854117839999993,1503.1415643897026,158081.5417867591,95.3225046073507,5.79743274851278,68493.76427031965,95761.27191451126,12.26
-0.0035260242932999056,0.021942144218874478,0.0037854117839999993,1502.8039185901168,158046.12326138458,95.31633107078893,5.7965012714385535,68489.38297002968,95755.16207718432,12.261000000000001
-0.003525078564557113,0.021938619140309923,0.0037854117839999993,1502.466384887642,158010.7164960973,95.31015861067459,5.795570044199431,68485.00241872639,95749.05328706926,12.262
-0.003524132744957274,0.021935095007564968,0.0037854117839999993,1502.1289632757298,157975.32149020032,95.30398722748355,5.794639066819414,68480.6226167553,95742.94554464569,12.263
-0.003523186834500473,0.021931571820730463,0.0037854117839999993,1501.7916537478293,157939.93824299646,95.29781692169175,5.793708339322501,68476.24356446194,95736.83885039332,12.264000000000001
-0.0035222408331867946,0.021928049579897278,0.0037854117839999993,1501.4544562973956,157904.56675378903,95.29164769377547,5.7927778617326995,68471.86526219215,95730.73320479224,12.265
-0.0035212947410163463,0.021924528285156262,0.0037854117839999993,1501.1173709178793,157869.20702188104,95.28547954421097,5.791847634074007,68467.48771029171,95724.62860832241,12.266
-0.003520348557989238,0.021921007936598274,0.0037854117839999993,1500.7803976027126,157833.8590465736,95.27931247347354,5.790917656370428,68463.11090910564,95718.5250614628,12.267
-0.0035194022841055603,0.021917488534314165,0.0037854117839999993,1500.4435363453777,157798.52282717288,95.27314648204151,5.78998792864596,68458.73485898138,95712.42256469572,12.268
-0.0035184559193655127,0.021913970078394802,0.0037854117839999993,1500.1067871393086,157763.1983629802,95.26698157039053,5.78905845092461,68454.35956026419,95706.32111850045,12.269
-0.003517509463769217,0.021910452568931035,0.0037854117839999993,1499.7701499779612,157727.88565329928,95.26081773899774,5.788129223230378,68449.98501330052,95700.22072335792,12.27
-0.0035165629173168423,0.021906936006013712,0.0037854117839999993,1499.433624854777,157692.58469743206,95.25465498833951,5.787200245587262,68445.61121843624,95694.12137974828,12.271
-0.003515616280008547,0.021903420389733707,0.0037854117839999993,1499.097211763205,157657.29549468146,95.24849331889271,5.786271518019269,68441.2381760176,95688.02308815219,12.272
-0.0035146695518445204,0.021899905720181863,0.0037854117839999993,1498.760910696697,157622.01804435064,95.24233273113464,5.785343040550398,68436.86588639117,95681.9258490507,12.273
-0.003513722732824963,0.021896391997449034,0.0037854117839999993,1498.424721648702,157586.75234574257,95.23617322554253,5.784414813204649,68432.49434990344,95675.8296629249,12.274000000000001
