run_time [s],time [s],state [-],Sensor Bus [Volts],OX-LC-A [lbf],OX-LC-B [lbf],OX-LC-C [lbf],OX-LC-D [lbf],FU-LC-A [lbf],FU-LC-B [lbf],FU-LC-C [lbf],FU-LC-D [lbf],CH-LC-A [lbf],CH-LC-B [lbf],OX-TC-093 [degF],OX-TC-097 [degF],FC-TC-056 [degF],CH-STC-101-A [degF],CH-STC-101-B [degF],CH-STC-101-C [degF]OX-PT-094 [psig],OX-PT-098 [psig],N2-PT-019 [psig],CH-PT-100 [psig]
16.6120,1.3150,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.0668,108.6393,108.6393,108.6393,-200.0000,-200.0000,-5.8969,-5.54
16.6170,1.3200,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.8845,110.3566,108.6393,109.2117,108.0668,108.0668,-200.0000,-200.0000,-5.7776,-5.54
16.6220,1.3250,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.6393,109.2117,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.6270,1.3300,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,110.3566,108.6393,108.6393,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.6320,1.3350,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.8845,110.3566,108.0668,109.2117,107.4944,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.6370,1.3400,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.0668,108.6393,107.4944,108.0668,-200.0000,-200.0000,-5.7776,-5.54
16.6420,1.3450,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.8845,109.7841,108.0668,108.6393,107.4944,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.6470,1.3500,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.6393,108.6393,107.4944,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.6520,1.3550,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.8845,109.7841,108.0668,108.6393,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.42
16.6570,1.3600,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.0668,108.6393,107.4944,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.6620,1.3650,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.8845,109.7841,108.0668,109.2117,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.6670,1.3700,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.0668,108.6393,107.4944,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.6720,1.3750,1.0000,0.5661,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.8845,110.3566,108.0668,108.6393,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.42
16.6770,1.3800,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.0668,109.2117,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.6820,1.3850,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.0668,109.2117,108.0668,108.6393,-200.0000,-200.0000,-5.8969,-5.54
