run_time [s],time [s],state [-],ox_l1 [lbf],ox_l2 [lbf],ox_l3 [lbf],ox_l4 [lbf],fu_l1 [lbf],fu_l2 [lbf],fu_l3 [lbf],fu_l4 [lbf],ox_tc_094 [degF],ox_tc_097 [degF],fu_tc_056 [degF],ch_stc_101_a [degF],ch_stc_101_b [degF],ch_stc_101_c [degF]
35.4430,1.6170,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1260.32,-404.00,-404.00
35.4490,1.6230,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1261.40,-404.00,-404.00
35.4550,1.6290,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1261.40,-404.00,-404.00
35.4610,1.6350,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1261.40,-404.00,-404.00
35.4670,1.6410,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1261.40,-404.00,-404.00
35.4730,1.6470,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1261.40,-404.00,-404.00
35.4790,1.6530,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
35.4850,1.6590,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
35.4910,1.6650,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
35.4970,1.6710,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
35.5030,1.6770,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1261.40,-404.00,-404.00
35.5090,1.6830,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1261.40,-404.00,-404.00
35.5150,1.6890,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1261.40,-404.00,-404.00
35.5210,1.6950,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1260.32,-404.00,-404.00
35.5270,1.7010,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1260.32,-404.00,-404.00
35.5330,1.7070,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1260.32,-404.00,-404.00
35.5390,1.7130,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1260.32,-404.00,-404.00
